budget_n,strategy,n_transfers,prauc_mean,prauc_median,ci_low,ci_high
20,always_hybrid,20,0.5484592606091566,0.5345225260898001,0.4483256929462439,0.6478736879137292
20,always_random,20,0.5480881183890156,0.5393959505100588,0.4464780631160214,0.6483691196739376
20,oracle_random_hybrid,20,0.5507306097243581,0.5393959505100588,0.4505059778673472,0.6502136799510626
20,selective_policy_v2,20,0.5504226074005968,0.5393959505100588,0.4500301630202495,0.6497718208161272
30,always_hybrid,20,0.5534544956949164,0.5488519700186103,0.45311583844652265,0.6515629689939213
30,always_random,20,0.5516693556001193,0.5484162839436872,0.4491862475749821,0.6518370886353116
30,oracle_random_hybrid,20,0.5561212634667166,0.5521182881277064,0.4547347166314693,0.6549577236855364
30,selective_policy_v2,20,0.555322700740778,0.5484162839436872,0.45396973111420585,0.6542554623881225
50,always_hybrid,20,0.5596829999896256,0.5482732627324888,0.46235520769826477,0.6551527600292991
50,always_random,20,0.5576842767143839,0.5553031629708712,0.45732648413069693,0.6552131918439311
50,oracle_random_hybrid,20,0.5628730294535084,0.5587759415860657,0.46467654827580285,0.6585193055188024
50,selective_policy_v2,20,0.5619067144041827,0.5587759415860657,0.4635175528502521,0.6577605720717975
